state,year,fallow_other_than_current,current_fallow,total_fallow,net_area_sown,gross_cropped_area,area_sown_more_than_once,agricultural_land,cultivated_land,uncultivable_land,uncultivated_land,cropping_intensity,double_cropped_share,fallow_share,current_fallow_share,cultivated_land_share,uncultivated_share,net_area_sown_change,gross_cropped_area_change,agricultural_land_change,cultivated_land_change,fallow_change,net_area_sown_delta,gross_cropped_area_delta,agricultural_land_delta,cultivated_land_delta,fallow_delta,agricultural_land_from_baseline,net_area_sown_from_baseline,fallow_from_baseline,agricultural_land_3yr_mean,fallow_3yr_mean,cropping_intensity_3yr_mean
Bihar,2024,142.0,714.0,857.0,5412.0,8207.0,2795.0,6560.0,6126.0,2799.0,3233.0,1.5164449371763642,0.516444937176549,0.1306402439024191,0.10884146341461755,0.9338414634144917,0.4928353658535834,0.018441851712457602,0.04734558448187842,0.0018326206475258733,0.0045916693998031555,-0.08829787234042552,98.0,371.0,12.0,28.0,-83.0,-0.0027363940407414506,0.03976945244956008,-0.20721554116539573,6551.0,978.0,1.4708383393115911
Chandigarh,2015,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,6.0,0.9999999989999999,0.0,0.0,0.0,0.9999999989999999,5.9999999939999995,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.9999999989999999
Chandigarh,2016,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,6.0,0.9999999989999999,0.0,0.0,0.0,0.9999999989999999,5.9999999939999995,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999999989999999
Chandigarh,2017,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,6.0,6.0,1.9999999979999998,0.9999999989999999,0.0,0.0,0.9999999989999999,5.9999999939999995,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3333333319999998
Chandigarh,2018,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,6.0,0.9999999989999999,0.0,0.0,0.0,0.9999999989999999,5.9999999939999995,0.0,-0.5,0.0,0.0,,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3333333319999998
Chandigarh,2019,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,8.0,8.0,2.9999999969999998,0.9999999989999999,0.0,0.0,0.9999999989999999,7.999999991999999,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9999999979999998
Chandigarh,2020,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,8.0,8.0,1.9999999979999998,0.9999999989999999,0.0,0.0,0.9999999989999999,7.999999991999999,0.0,-0.33333333333333337,0.0,0.0,,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9999999979999998
Chandigarh,2021,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,8.0,8.0,1.9999999979999998,0.9999999989999999,0.0,0.0,0.9999999989999999,7.999999991999999,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.333333331
Chandigarh,2022,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,8.0,8.0,1.9999999979999998,0.9999999989999999,0.0,0.0,0.9999999989999999,7.999999991999999,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9999999979999998
Chandigarh,2023,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,8.0,0.9999999989999999,0.0,0.0,0.0,0.9999999989999999,7.999999991999999,0.0,-0.5,0.0,0.0,,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.666666665
Chandigarh,2024,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,6.0,6.0,1.9999999979999998,0.9999999989999999,0.0,0.0,0.9999999989999999,5.9999999939999995,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.666666665
Chhattisgarh,2015,263.0,281.0,545.0,4651.0,5640.0,989.0,5561.0,4932.0,8228.0,8858.0,1.2126424424852262,0.21264244248544126,0.09800395612298182,0.050530480129464025,0.8868908469698099,1.5928789786006845,,,,,,,,,,,0.0,0.0,0.0,5561.0,545.0,1.2126424424852262
