state,year,fallow_other_than_current,current_fallow,total_fallow,net_area_sown,gross_cropped_area,area_sown_more_than_once,agricultural_land,cultivated_land,uncultivable_land,uncultivated_land,cropping_intensity,double_cropped_share,fallow_share,current_fallow_share,cultivated_land_share,uncultivated_share,net_area_sown_change,gross_cropped_area_change,agricultural_land_change,cultivated_land_change,fallow_change,net_area_sown_delta,gross_cropped_area_delta,agricultural_land_delta,cultivated_land_delta,fallow_delta,agricultural_land_from_baseline,net_area_sown_from_baseline,fallow_from_baseline,agricultural_land_3yr_mean,fallow_3yr_mean,cropping_intensity_3yr_mean,conflict_count,people_affected,conflict_land_area_ha,conflict_observed,conflict_next_period,target_available
Nicobar Islands,2015,3.0,3.0,6.0,15.0,48.0,33.0,28.0,17.0,730.0,740.0,3.199999999786667,2.199999999853333,0.2142857142780612,0.1071428571390306,0.6071428571211734,26.42857142762755,,,,,,,,,,,0.0,0.0,0.0,28.0,6.0,3.199999999786667,0.0,0.0,0.0,False,,False
Nicobar Islands,2017,3.0,3.0,6.0,15.0,49.0,34.0,28.0,17.0,730.0,740.0,3.266666666448889,2.2666666665155555,0.2142857142780612,0.1071428571390306,0.6071428571211734,26.42857142762755,0.0,0.0208333333333332,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,3.233333333117778,0.0,0.0,0.0,False,,False
Nicobar Islands,2018,3.0,3.0,6.0,15.0,41.0,26.0,28.0,17.0,730.0,740.0,2.733333333151111,1.7333333332177778,0.2142857142780612,0.1071428571390306,0.6071428571211734,26.42857142762755,0.0,-0.1632653061224489,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,3.066666666462222,0.0,0.0,0.0,False,,False
Nicobar Islands,2019,3.0,3.0,6.0,15.0,46.0,31.0,28.0,17.0,687.0,697.0,3.0666666664622224,2.066666666528889,0.2142857142780612,0.1071428571390306,0.6071428571211734,24.89285714196811,0.0,0.1219512195121952,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,3.0222222220207406,0.0,0.0,0.0,False,,False
Nicobar Islands,2020,3.0,3.0,6.0,15.0,40.0,25.0,28.0,17.0,687.0,697.0,2.6666666664888887,1.6666666665555556,0.2142857142780612,0.1071428571390306,0.6071428571211734,24.89285714196811,0.0,-0.1304347826086956,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,2.8222222220340742,0.0,0.0,0.0,False,,False
Nicobar Islands,2021,3.0,3.0,6.0,15.0,39.0,25.0,28.0,17.0,687.0,697.0,2.5999999998266667,1.6666666665555556,0.2142857142780612,0.1071428571390306,0.6071428571211734,24.89285714196811,0.0,-0.025,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,2.777777777592593,0.0,0.0,0.0,False,,False
Nicobar Islands,2022,3.0,3.0,6.0,15.0,39.0,25.0,28.0,17.0,687.0,697.0,2.5999999998266667,1.6666666665555556,0.2142857142780612,0.1071428571390306,0.6071428571211734,24.89285714196811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,2.6222222220474074,0.0,0.0,0.0,False,,False
Nicobar Islands,2023,4.0,1.0,4.0,10.0,16.0,6.0,22.0,11.0,693.0,704.0,1.59999999984,0.59999999994,0.1818181818099173,0.0454545454524793,0.4999999999772727,31.99999999854545,-0.3333333333333333,-0.5897435897435898,-0.2142857142857143,-0.3529411764705882,-0.3333333333333333,-5.0,-23.0,-6.0,-6.0,-2.0,-0.2142857142780612,-0.3333333333111111,-0.3333333332777777,26.0,5.333333333333333,2.266666666497778,0.0,0.0,0.0,False,,False
Nicobar Islands,2024,4.0,1.0,5.0,11.0,16.0,6.0,23.0,12.0,736.0,748.0,1.454545454413223,0.5454545454049586,0.2173913043383742,0.0434782608676748,0.5217391304120983,32.521739129020794,0.1,0.0,0.0454545454545454,0.0909090909090908,0.25,1.0,0.0,1.0,1.0,1.0,-0.178571428565051,-0.2666666666488889,-0.1666666666388888,24.33333333333333,5.0,1.884848484693297,0.0,0.0,0.0,False,,False
Odisha,2015,655.0,1028.0,1683.0,4198.0,4803.0,605.0,6648.0,5226.0,8779.0,10201.0,1.1441162458310756,0.1441162458313139,0.2531588447653048,0.1546329723224797,0.7861010830323727,1.5344464500599375,,,,,,,,,,,0.0,0.0,0.0,6648.0,1683.0,1.1441162458310756,0.0,0.0,0.0,False,,False
