state,year,raw_values,pdf_page,y_position
Meghalaya,2019,153|58|211|255|313|58|1010|313|1185|1883,151,474.02
Meghalaya,2020,154|58|212|253|309|56|1010|312|1185|1884,151,482.78
Meghalaya,2021,154|54|207|269|325|56|1015|323|1189|1881,151,491.54
Meghalaya,2022,150|53|203|274|330|56|1014|327|1190|1876,151,500.3
Meghalaya,2023,150|53|203|274|366|92|1014|327|1190|1876,151,509.06
Meghalaya,2024,150|53|203|274|366|92|1014|327|1190|1876,151,517.82
Mizoram,2015,127|47|174|145|188|44|367|191|1672|1848,151,535.34
Mizoram,2016,127|47|174|145|186|42|367|191|1672|1848,151,544.1
Mizoram,2017,127|47|174|145|188|44|367|191|1672|1848,151,552.86
Mizoram,2018,127|47|174|145|187|42|367|191|1672|1848,151,561.62
Mizoram,2019,127|47|174|145|195|50|367|191|1672|1848,151,570.38
Mizoram,2020,127|47|174|145|206|61|367|191|1672|1848,151,579.14
Mizoram,2021,127|47|174|145|206|62|367|191|1672|1848,151,587.9
Mizoram,2022,127|47|174|145|206|62|367|191|1672|1848,151,596.66
Mizoram,2023,107|37|144|198|201|3|391|235|1669|1825,151,605.42
Mizoram,2024,3|5|8|145|202|57|165|150|1848|1863,151,614.18
Nagaland,2015,100|50|150|384|504|120|695|434|958|1219,151,631.7
Nagaland,2016,106|47|153|385|521|137|694|431|958|1221,151,640.46
Nagaland,2017,110|44|153|385|530|145|694|428|958|1224,151,649.22
Nagaland,2018,111|49|160|384|529|145|678|432|975|1221,151,657.98
Nagaland,2019,112|48|160|384|530|146|676|432|978|1222,151,666.74
Nagaland,2020,112|47|159|386|532|146|674|433|981|1222,151,675.5
Nagaland,2021,186|92|278|265|319|54|672|357|984|1300,151,684.26
Nagaland,2022,121|59|180|361|471|110|669|419|987|1237,151,693.02
Nagaland,2023,119|58|177|366|481|115|668|424|989|1233,151,701.78
Nagaland,2024,125|63|187|356|468|112|666|419|990|1238,151,710.54
Nicobar Islands,2015,3|3|6|15|48|33|28|17|730|740,153,538.7
Nicobar Islands,2016,3|3|6|15|44|30|28|730|740,153,547.46
Nicobar Islands,2017,3|3|6|15|49|34|28|17|730|740,153,556.22
Nicobar Islands,2018,3|3|6|15|41|26|28|17|730|740,153,564.98
Nicobar Islands,2019,3|3|6|15|46|31|28|17|687|697,153,573.74
Nicobar Islands,2020,3|3|6|15|40|25|28|17|687|697,153,582.5
Nicobar Islands,2021,3|3|6|15|39|25|28|17|687|697,153,591.26
Nicobar Islands,2022,3|3|6|15|39|25|28|17|687|697,153,600.02
Nicobar Islands,2023,4|1|4|10|16|6|22|11|693|704,153,608.78
Nicobar Islands,2024,4|1|5|11|16|6|23|12|736|748,153,617.54
Odisha,2015,655|1028|1683|4198|4803|605|6648|5226|8779|10201,152,144.26
Odisha,2016,685|1085|1770|4099|4884|785|6690|5184|9254|10760,152,153.02
Odisha,2017,777|1216|1993|3863|4502|639|6745|5079|8679|10345,152,161.78
Odisha,2018,738|1089|1827|4006|4527|521|6675|5095|8756|10336,152,170.54
Odisha,2019,705|1055|1760|4102|4670|568|6699|5157|8082|9624,152,179.3
Odisha,2020,672|986|1658|4179|4819|640|6654|5165|8240|9729,152,188.06
Odisha,2021,688|943|1632|4322|4997|676|6782|5265|8063|9580,152,196.82
Odisha,2022,704|908|1613|4269|5014|745|6742|5178|8199|9763,152,205.58
Odisha,2023,701|903|1604|4307|5168|861|6724|5211|8156|9669,152,214.34
Odisha,2024,678|814|1492|4358|5260|902|6688|5172|4884|6399,152,223.1
Puducherry,2015,3|5|8|15|26|11|29|20|20|28,154,654.14
Puducherry,2016,3|5|8|15|26|11|29|20|20|29,154,662.9
Puducherry,2017,3|4|8|15|26|11|29|19|20|29,154,671.66
Puducherry,2018,3|4|7|15|27|11|28|20|29,154,680.42
Puducherry,2019,3|4|7|15|27|12|28|19|29,154,689.18
Puducherry,2020,3|4|7|15|27|11|28|19|20|29,154,697.94
Puducherry,2021,3|4|6|16|28|12|28|20|21|29,154,706.7
Puducherry,2022,3|3|6|16|30|13|28|19|21|29,154,715.46
Punjab,2015,6|77|82|4137|7872|3734|4245|4214|788|819,152,240.62
Punjab,2016,6|78|84|4130|7804|3674|4237|4208|796|824,152,249.38
Punjab,2017,6|85|91|4124|7779|3655|4235|4209|798|824,152,258.14
Punjab,2018,6|86|91|4119|7851|3732|4233|4205|800|828,152,266.9
Punjab,2019,5|88|93|4127|7838|3711|4238|4214|795|818,152,275.66
Punjab,2020,5|87|93|4126|7835|3709|4237|4213|796|820,152,284.42
Punjab,2021,5|90|95|4113|7916|3803|4225|4203|807|830,152,293.18
Punjab,2022,5|91|95|4110|8312|4201|4225|4201|806|830,152,301.94
Punjab,2023,5|92|97|4109|8263|4154|4226|4201|806|831,152,310.7
Punjab,2024,5|105|110|4103|8139|4036|4232|4208|807|832,152,319.46
Rajasthan,2015,1966|1597|3563|18024|25014|6989|25504|19622|8764|14646,152,336.98
Rajasthan,2016,1983|1491|3474|18169|26036|7867|25496|19659|8783|14619,152,345.74
Rajasthan,2017,1992|1742|3734|17903|25069|7166|25493|19645|8794|14642,152,354.5
Rajasthan,2018,2106|1789|3895|17778|25313|7535|25484|19567|8803|14720,152,363.26
Rajasthan,2019,2142|1555|3698|18032|27515|9484|25475|19587|8816|14703,152,372.02
Rajasthan,2020,2093|1675|3768|17948|26100|8152|25473|19623|8816|14666,152,380.78
Rajasthan,2021,2040|1585|3625|18130|27442|9312|25463|19715|8829|14578,152,389.54
Rajasthan,2022,1946|1502|3449|18423|28171|9749|25464|19925|8817|14357,152,398.3
Rajasthan,2023,1961|1730|3692|18198|27696|9498|25446|19928|8816|14334,152,407.06
Rajasthan,2024,1931|1792|3723|18209|28193|9984|25442|20001|8902|14343,152,415.82
Sikkim,2015,5|7|12|77|137|59|97|84|346|358,152,433.34
Sikkim,2016,5|7|12|77|146|69|97|84|346|358,152,442.1
Sikkim,2017,5|7|12|77|153|75|97|84|344|357,152,450.86
Sikkim,2018,5|7|12|77|162|85|97|84|344|357,152,459.62
Sikkim,2019,5|7|12|77|162|85|97|84|344|357,152,468.38
