type,page,state,year,values
numeric,153,,,1|12|13|14|15|16|17|18|19|20|21
numeric,153,,,2015|-16|2|1|3|255|486|230|272|257|777|793
numeric,153,,,2016|-17|2|1|2|255|491|235|271|256|778|793
numeric,153,,,2017|-18|2|1|2|255|487|232|271|256|778|793
numeric,153,,,2018|-19|1|1|2|256|487|231|270|257|779|793
numeric,153,,,2019|-20|1|1|2|255|487|232|270|256|779|793
numeric,153,,,2020|-21|1|1|2|255|487|232|270|256|779|793
numeric,153,,,2021|-22|1|1|2|255|487|231|270|256|779|793
numeric,153,,,2022|-23|1|1|2|255|485|230|269|256|780|794
numeric,153,,,2023|-24|1|1|2|255|483|228|269|256|780|794
numeric,153,,,2024|-25|1|1|2|253|479|226|267|254|782|796
numeric,153,,,2015|-16|86|57|143|698|1083|384|1547|756|4445|5237
numeric,153,,,2016|-17|88|62|150|691|1082|391|1546|752|4447|5240
numeric,153,,,2017|-18|86|73|160|673|1060|386|1550|746|4455|5258
numeric,153,,,2018|-19|89|88|177|648|1029|381|1548|736|4454|5266
numeric,153,,,2019|-20|90|93|183|638|1024|386|1545|731|4456|5271
numeric,153,,,2020|-21|100|92|191|621|997|376|1544|712|4457|5289
numeric,153,,,2021|-22|108|97|205|594|969|376|1541|691|4460|5310
numeric,153,,,2022|-23|152|64|216|568|932|364|1540|633|4461|5369
numeric,153,,,2023|-24|160|47|207|551|907|356|1564|598|4438|5404
numeric,153,,,2024|-25|165|43|208|527|851|323|1562|570|4441|5432
numeric,153,,,2015|-16|547|1161|1708|16469|26203|9734|18863|17630|5307|6541
numeric,153,,,2016|-17|520|1090|1610|16564|26949|10385|18848|17654|5323|6516
numeric,153,,,2017|-18|552|1061|1613|16542|26864|10322|18826|17602|5344|6568
numeric,153,,,2018|-19|594|987|1581|16538|26859|10321|18775|17524|5395|6646
numeric,153,,,2019|-20|618|992|1610|16368|27109|10741|18614|17360|5557|6811
numeric,153,,,2020|-21|618|992|1610|16368|27109|10741|18614|17360|5557|6811
numeric,153,,,2021|-22|596|966|1562|16096|28200|12104|18264|17062|5250|6451
numeric,153,,,2022|-23|591|920|1512|16121|28237|12116|18227|17041|5288|6474
numeric,153,,,2023|-24|534|821|1355|16365|29783|13418|18237|17187|5854|6904
numeric,153,,,2024|-25|441|719|1160|16684|32311|15627|18321|17403|5772|6690
numeric,153,,,2015|-16|11|328|339|5243|9881|4638|5648|5571|3036|3113
numeric,153,,,2016|-17|10|313|322|5246|9618|4372|5633|5559|3052|3126
numeric,153,,,2017|-18|7|308|315|5247|9945|4698|5625|5555|3060|3129
numeric,153,,,2018|-19|6|301|307|5248|9960|4711|5615|5549|3069|3135
numeric,153,,,2019|-20|5|300|305|5250|10100|4850|5608|5550|3076|3134
